bug_id,product,invovled_tools,invovled_tools_num,commits,modified_tools,modified_tools_num,invovled_tools_modification,is_product_modified,non-involved_modified_tools_num
12984,clang,clang|libc++,2,208404,clang,1,part,True,0
13154,clang,clang|lldb,2,161473,clang,1,part,True,0
13168,clang,clang|libraries,2,158949,clang,1,part,True,0
13195,clang,clang|libraries,2,162962,clang,1,part,True,0
13224,clang,clang|compiler-rt,2,161047,clang,1,part,True,0
13229,clang,clang|libraries,2,159472|159477,clang,1,part,True,0
13339,libraries,clang|libraries,2,160325,libraries,1,part,True,0
13380,clang,clang|libraries,2,162643,clang,1,part,True,0
13394,clang,clang|libc++,2,157823|160518|160855,clang|libraries,2,part,True,1
13401,clang,clang|libc++,2,161135,clang,1,part,True,0
13409,clang,clang|libraries,2,160634,clang,1,part,True,0
13440,clang,clang|libraries,2,161051,clang,1,part,True,0
13479,clang,clang|libraries,2,161008,clang,1,part,True,0
13480,clang,clang|libc++,2,160961,clang,1,part,True,0
13550,polly,libraries|polly,2,203486,libraries,1,part,False,0
13577,clang,clang|compiler-rt|libraries,3,161687|161732,libraries,1,part,False,0
13662,clang,clang|libc++,2,162360,clang,1,part,True,0
13688,clang,clang|libc++,2,163862,libc++,1,part,False,0
13798,clang,clang|libc++,2,163514,clang,1,part,True,0
13806,clang,clang|libraries,2,163863,clang,1,part,True,0
13849,clang,clang|libc++,2,160078|160614|160846,clang,1,part,True,0
13860,clang,clang|libc++,2,164168,clang,1,part,True,0
13912,libraries,clang|libraries,2,164585,libraries,1,part,True,0
14013,clang,clang|compiler-rt,2,165962|165963|165987,clang|compiler-rt,2,all,True,0
14029,clang,clang|libraries,2,165288|165289,clang|libraries,2,all,True,0
14098,libraries,compiler-rt|libraries,2,166067|166068,libraries,1,part,True,0
14109,compiler-rt,clang|compiler-rt,2,249202|250064,clang|libraries,2,part,False,1
14135,polly,libraries|polly,2,166402,polly,1,part,True,0
14158,libraries,clang|libraries,2,166491,libraries,1,part,True,0
14194,clang,clang|libraries,2,166880,libraries,1,part,False,0
14203,clang,clang|libc++,2,166956,clang,1,part,True,0
14247,clang,clang|compiler-rt,2,171264,clang,1,part,True,0
14272,clang,clang|libc++,2,167506,clang,1,part,True,0
14341,compiler-rt,clang|compiler-rt,2,168038,compiler-rt,1,part,True,0
14342,clang,clang|libc++,2,168005,clang,1,part,True,0
14374,clang,clang|libc++,2,195887,clang,1,part,True,0
14386,clang,clang|libraries,2,168295|168441,clang,1,part,True,0
14436,clang,clang|libraries,2,168741,clang,1,part,True,0
14452,libc++,clang|libc++,2,168826|168853,clang|libc++,2,all,True,0
14489,clang,clang|libc++,2,170474,clang,1,part,True,0
14550,clang,clang|libc++,2,169689,clang,1,part,True,0
14551,libraries,clang|libraries,2,172368,libraries,1,part,True,0
14639,clang,clang|libraries,2,170546,libraries,1,part,False,0
14647,libraries,clang|libraries,2,170528,libraries,1,part,True,0
14654,libraries,libraries|lldb,2,170578,libraries,1,part,True,0
14678,libraries,clang|libraries,2,171778,libraries,1,part,True,0
14791,clang,clang|polly,2,179099,clang,1,part,True,0
14830,clang,clang|libraries,2,171731,clang,1,part,True,0
14898,clang,clang|libc++|libraries,3,172243,clang,1,part,True,0
15015,clang,clang|libraries,2,172997,libraries,1,part,False,0
15061,clang,clang|libraries,2,175960,clang,1,part,True,0
15138,libraries,clang|libraries,2,174641,libraries,1,part,True,0
15233,clang,clang|libraries,2,174894,polly,1,none,False,1
15365,clang,clang|libc++,2,197623,clang,1,part,True,0
15533,clang,clang|compiler-rt,2,177189|177214,clang,1,part,True,0
15539,clang,clang|libc++,2,177345,clang,1,part,True,0
15597,clang,clang|libc++,2,178103,clang,1,part,True,0
15747,clang,clang|libraries,2,179563|179582|179589,clang|libraries,2,all,True,0
15817,polly,compiler-rt|polly,2,183025,polly,1,part,True,0
15987,clang,clang|libc++,2,182071,clang,1,part,True,0
16073,libraries,clang|libraries,2,182375|182485,libraries,1,part,True,0
16132,libraries,compiler-rt|libraries,2,182636,libraries,1,part,True,0
16214,clang,clang|lldb,2,183296|183837|184594|186262,clang,1,part,True,0
16227,clang,clang|libraries,2,183451,clang,1,part,True,0
16272,compiler-rt,compiler-rt|libc++,2,183735,compiler-rt,1,part,True,0
16339,clang,clang|libraries,2,184054,clang,1,part,True,0
16387,libraries,clang|libraries,2,186390,libraries,1,part,True,0
16534,clang,clang|libraries,2,185828,clang,1,part,True,0
16544,clang,clang|libraries,2,185834,libraries,1,part,False,0
16596,clang,clang|libc++,2,186125|193265,clang,1,part,True,0
16604,clang,clang|libraries,2,189453,clang,1,part,True,0
16608,clang,clang|libraries,2,220867,clang,1,part,True,0
16732,libraries,compiler-rt|libraries,2,187278|187291|187646,libraries,1,part,True,0
16768,compiler-rt,clang|compiler-rt,2,188666|188675,clang,1,part,False,0
16777,libraries,clang|libraries,2,187663,libraries,1,part,True,0
16834,libraries,clang|libraries,2,188329,libraries,1,part,True,0
16840,polly,libraries|polly,2,187981,polly,1,part,True,0
16920,clang,clang|compiler-rt,2,188688,libraries,1,none,False,1
16927,clang,clang|libraries,2,188612,clang,1,part,True,0
16950,libraries,clang|libraries,2,188869,libraries,1,part,True,0
16959,libraries,clang|libraries,2,207008|209555,clang,1,part,False,0
17026,clang,clang|libraries,2,189672,libraries,1,part,False,0
17046,clang,clang|libc++,2,190122,clang,1,part,True,0
17050,clang,clang|libraries,2,189749,clang,1,part,True,0
17060,compiler-rt,compiler-rt|libraries,2,189801,compiler-rt,1,part,True,0
17069,compiler-rt,compiler-rt|libraries,2,189801,compiler-rt,1,part,True,0
17123,clang,clang|libc++,2,190484|192142,clang|libc++,2,all,True,0
17159,polly,libraries|polly,2,200427,polly,1,part,True,0
17347,libraries,clang|libraries,2,197178,libraries,1,part,True,0
17425,clang,clang|libc++,2,191675|191741,libraries,1,none,False,1
17492,clang,clang|libc++,2,260662,clang,1,part,True,0
17555,clang,clang|compiler-rt,2,192963|193074|193075|193392,clang|compiler-rt|libraries,3,all,True,1
17633,clang,clang|libc++,2,193058|313096,clang,1,part,True,0
17661,clang,clang|libc++,2,191484|193274,clang,1,part,True,0
17730,clang,clang|libraries,2,220787,clang,1,part,True,0
17827,libraries,clang|libraries,2,195371|196129|196164|197705|197713,libraries|lldb,2,part,True,1
17866,clang,clang|libc++,2,194764,clang,1,part,True,0
17869,clang,clang|libc++,2,194838,libc++,1,part,False,0
17873,libraries,clang|libraries,2,194220|195371|196585,libraries|lldb,2,part,True,1
17877,clang,clang|libc++,2,194188|194448|208386,clang,1,part,True,0
17977,compiler-rt,compiler-rt|libc++,2,196779,compiler-rt,1,part,True,0
17983,clang,clang|libc++,2,193986|194055|196488,clang,1,part,True,0
17999,clang,clang|libraries,2,212591,clang,1,part,True,0
18031,clang,clang|libc++,2,195556,clang,1,part,True,0
18045,libraries,clang|libraries,2,197492,libraries,1,part,True,0
18096,libraries,clang|libraries,2,196044|196045,clang|libraries,2,all,True,0
18099,clang,clang|libraries,2,225558,libraries,1,part,False,0
18191,lldb,libc++|lldb,2,199549,lldb,1,part,True,0
18199,libraries,clang|libraries,2,197657|197787|198097|198172|198662|198735|201474|201499,libraries,1,part,True,0
18214,lldb,libraries|lldb,2,197078|240104,lldb,1,part,True,0
18220,libraries,clang|libraries,2,153166|198566,libraries,1,part,True,0
18279,compiler-rt,clang|compiler-rt|libraries,3,225049,compiler-rt,1,part,True,0
18364,libraries,clang|libraries,2,164169|166613|216989|216990,libraries,1,part,True,0
18377,polly,libraries|polly,2,200314|200315,polly,1,part,True,0
18615,libraries,clang|libraries,2,202224,libraries,1,part,True,0
18635,clang,clang|libraries,2,218503,clang,1,part,True,0
18688,libraries,clang|libraries,2,200612,libraries,1,part,True,0
18692,clang,clang|libraries,2,201907,clang,1,part,True,0
18743,clang,clang|libraries,2,201608,libraries,1,part,False,0
18778,clang,clang|libraries,2,268299,clang,1,part,True,0
18864,clang,clang|libraries,2,197024|223147,clang|libraries,2,all,True,0
18900,clang,clang|libraries,2,201711,libraries,1,part,False,0
18950,clang,clang|lldb,2,202188,libraries,1,none,False,1
18959,libraries,libraries|polly,2,202129,libraries,1,part,True,0
18963,clang,clang|libraries,2,211718,clang,1,part,True,0
19043,clang,clang|libc++,2,202901,clang,1,part,True,0
19098,libraries,clang|libraries,2,280040|280041,clang|libraries,2,all,True,0
19115,libraries,clang|libraries,2,205710,libraries,1,part,True,0
